Frequency (Hz)	Level (dB)
195.144653	-94.100197
195.817566	-93.583488
196.490479	-96.477066
197.163391	-109.486389
197.836304	-93.831062
198.509216	-94.455727
199.182129	-94.893997
199.855042	-85.150558
200.527954	-91.720146
201.200867	-92.428719
201.873779	-99.911064
202.546692	-101.342133
203.219604	-93.831512
203.892517	-88.522644
204.565430	-91.638863
205.238342	-90.106964
205.911255	-90.887070
206.584167	-91.783211
207.257080	-106.424522
207.929993	-101.067009
208.602905	-98.913696
209.275818	-93.187096
209.948730	-97.268188
210.621643	-95.072655
211.294556	-91.954750
211.967468	-90.496658
212.640381	-89.010139
213.313293	-91.307175
213.986206	-94.251686
214.659119	-102.964203
215.332031	-102.800766
216.004944	-98.565872
216.677856	-98.699989
217.350769	-99.008163
218.023682	-92.909386
218.696594	-94.623199
219.369507	-101.771759
220.042419	-103.242386
220.715332	-96.552620
221.388245	-102.661041
222.061157	-113.481880
222.734070	-93.600578
223.406982	-90.271095
224.079895	-89.417076
224.752808	-89.062851
225.425720	-98.383247
226.098633	-96.098312
226.771545	-94.654129
227.444458	-92.571556
228.117371	-98.397949
228.790283	-94.857086
229.463196	-92.654663
230.136108	-93.076042
230.809021	-95.491875
231.481934	-96.303146
232.154846	-96.165855
232.827759	-92.709801
233.500671	-100.335228
234.173584	-96.274048
234.846497	-89.810974
235.519409	-99.000694
236.192322	-92.592812
236.865234	-99.763306
237.538147	-103.196472
238.211060	-100.693779
238.883972	-94.770119
239.556885	-95.334702
240.229797	-102.097321
240.902710	-101.058464
241.575623	-96.122856
242.248535	-90.356781
242.921448	-91.841896
243.594360	-91.522377
244.267273	-102.033852
244.940186	-93.645325
245.613098	-94.337585
246.286011	-90.839218
246.958923	-92.581734
247.631836	-101.396347
248.304749	-96.671814
248.977661	-103.039581
249.650574	-93.405357
250.323486	-99.493340
250.996399	-98.843544
251.669312	-95.919693
252.342224	-87.266113
253.015137	-86.543694
253.688049	-97.062767
254.360962	-97.422302
255.033875	-102.522736
255.706787	-100.380394
256.379700	-95.055412
257.052612	-88.405098
257.725525	-87.800575
258.398438	-89.293762
259.071350	-95.759995
259.744263	-93.059738
260.417175	-92.994041
261.090088	-99.376831
261.763000	-106.412392
262.435913	-100.401642
263.108826	-108.241112
263.781738	-95.188034
264.454651	-89.614403
265.127563	-85.564240
265.800476	-93.105301
266.473389	-93.946877
267.146301	-90.236427
267.819214	-91.144814
268.492126	-87.316658
269.165039	-85.571251
269.837952	-86.631462
270.510864	-91.982193
271.183777	-105.173599
271.856689	-100.240707
272.529602	-101.151161
273.202515	-95.704193
273.875427	-93.454292
274.548340	-92.146019
275.221252	-92.986710
275.894165	-88.687355
276.567078	-95.976982
277.239990	-92.021431
277.912903	-90.138847
278.585815	-95.607162
279.258728	-88.418076
279.931641	-86.702232
280.604553	-89.674362
281.277466	-90.743401
281.950378	-105.986244
282.623291	-97.106201
283.296204	-113.567352
283.969116	-99.439987
284.642029	-105.166832
285.314941	-98.364220
285.987854	-93.756294
286.660767	-90.589386
287.333679	-89.853828
288.006592	-87.948265
288.679504	-88.024147
289.352417	-93.759933
290.025330	-95.069916
290.698242	-93.377525
291.371155	-96.838333
292.044067	-88.078270
292.716980	-95.900879
293.389893	-92.042511
294.062805	-99.874931
294.735718	-104.700539
295.408630	-100.482056
296.081543	-96.507751
296.754456	-95.386513
297.427368	-88.455383
298.100281	-88.481064
298.773193	-89.264359
299.446106	-95.867485
300.119019	-90.099251
300.791931	-86.123283
301.464844	-83.597031
302.137756	-81.568901
302.810669	-87.941902
303.483582	-100.615356
304.156494	-99.555962
304.829407	-102.157623
305.502319	-103.158577
306.175232	-100.350952
306.848145	-92.564484
307.521057	-88.774078
308.193970	-90.662231
308.866882	-91.399940
309.539795	-90.502213
310.212708	-96.860100
310.885620	-94.584740
311.558533	-90.681068
312.231445	-93.516670
312.904358	-94.461838
313.577271	-90.796753
314.250183	-97.681259
314.923096	-94.373421
315.596008	-96.206146
316.268921	-90.374466
316.941833	-95.842552
317.614746	-106.799065
318.287659	-100.016853
318.960571	-112.178864
319.633484	-97.802246
320.306396	-98.337975
320.979309	-96.073425
321.652222	-95.459618
322.325134	-99.650246
322.998047	-99.063927
323.670959	-109.041985
324.343872	-98.122421
325.016785	-95.993919
325.689697	-96.964378
326.362610	-100.299301
327.035522	-92.866219
327.708435	-92.204872
328.381348	-93.693428
329.054260	-90.687508
329.727173	-90.389999
330.400085	-90.984863
331.072998	-91.502296
331.745911	-92.407318
332.418823	-90.583069
333.091736	-93.913727
333.764648	-91.948494
334.437561	-109.343239
335.110474	-91.096344
335.783386	-93.768105
336.456299	-95.762276
337.129211	-98.351685
337.802124	-104.773094
338.475037	-107.252953
339.147949	-101.070892
339.820862	-98.554146
340.493774	-88.611877
341.166687	-90.520386
341.839600	-103.385193
342.512512	-93.879150
343.185425	-88.510277
343.858337	-90.619080
344.531250	-90.982903
345.204163	-89.280563
345.877075	-105.490685
346.549988	-94.357178
347.222900	-97.131165
347.895813	-93.780373
348.568726	-97.027367
349.241638	-103.306198
349.914551	-90.858383
350.587463	-89.739502
351.260376	-89.623009
351.933289	-90.995537
352.606201	-99.313606
353.279114	-95.574226
353.952026	-90.697609
354.624939	-88.479942
355.297852	-91.494476
355.970764	-92.535530
356.643677	-93.948853
357.316589	-92.737114
357.989502	-101.645836
358.662415	-91.203255
359.335327	-88.878662
360.008240	-96.352165
360.681152	-96.524277
361.354065	-98.683388
362.026978	-98.833099
362.699890	-90.702042
363.372803	-85.629501
364.045715	-89.117073
364.718628	-96.987961
365.391541	-90.137726
366.064453	-94.248909
366.737366	-92.885559
367.410278	-97.579697
368.083191	-96.764809
368.756104	-94.229057
369.429016	-92.118774
370.101929	-96.460068
370.774841	-92.138222
371.447754	-90.690659
372.120667	-100.838974
372.793579	-96.825890
373.466492	-91.246483
374.139404	-92.899971
374.812317	-101.746170
375.485229	-101.655029
376.158142	-101.663933
376.831055	-100.272758
377.503967	-97.091522
378.176880	-95.824127
378.849792	-92.332565
379.522705	-92.856850
380.195618	-88.228218
380.868530	-92.530685
381.541443	-95.075150
382.214355	-100.930260
382.887268	-111.422722
383.560181	-99.803757
384.233093	-102.906013
384.906006	-100.341431
385.578918	-100.856506
386.251831	-105.219215
386.924744	-94.466324
387.597656	-95.776512
388.270569	-99.054512
388.943481	-91.546257
389.616394	-90.112717
390.289307	-96.152695
390.962219	-97.530426
391.635132	-101.002258
392.308044	-94.976669
392.980957	-90.506088
393.653870	-92.080444
394.326782	-96.340286
394.999695	-98.152161
395.672607	-97.418144
396.345520	-110.685036
397.018433	-107.680649
397.691345	-106.857964
398.364258	-97.591225
399.037170	-94.946846
399.710083	-89.603561
400.382996	-87.288170
401.055908	-91.325294
401.728821	-95.922119
402.401733	-98.800591
403.074646	-96.815063
403.747559	-97.911629
404.420471	-97.673431
405.093384	-103.033768
405.766296	-96.333504
406.439209	-95.952065
407.112122	-100.312019
407.785034	-95.102531
408.457947	-95.901115
409.130859	-97.645714
409.803772	-94.259018
410.476685	-85.707382
411.149597	-92.270386
411.822510	-91.048576
412.495422	-90.596130
413.168335	-92.828514
413.841248	-88.620369
414.514160	-100.480797
415.187073	-94.937271
415.859985	-92.507240
416.532898	-92.002785
417.205811	-92.394394
417.878723	-91.987045
418.551636	-93.051506
419.224548	-108.641777
419.897461	-84.561119
420.570374	-83.234901
421.243286	-83.397575
421.916199	-89.627472
422.589111	-91.124001
423.262024	-94.118103
423.934937	-92.729187
424.607849	-87.868416
425.280762	-91.427284
425.953674	-80.862274
426.626587	-84.284767
427.299500	-80.130486
427.972412	-78.237717
428.645325	-75.560394
429.318237	-80.176941
429.991150	-74.953659
430.664062	-75.965576
431.336975	-75.963402
432.009888	-68.933762
432.682800	-68.955994
433.355713	-81.635162
434.028625	-64.839417
434.701538	-62.472950
435.374451	-60.918941
436.047363	-60.309093
436.720276	-62.265728
437.393188	-63.470665
438.066101	-61.499966
438.739014	-62.500885
439.411926	-63.719978
440.084839	-58.106068
440.757751	-70.826355
441.430664	-57.497971
442.103577	-51.914101
442.776489	-35.918163
443.449402	-28.609261
444.122314	-34.208176
444.795227	-52.110630
445.468140	-55.623905
446.141052	-60.265186
446.813965	-62.054482
447.486877	-68.334961
448.159790	-67.537346
448.832703	-75.728745
449.505615	-66.937752
450.178528	-71.006966
450.851440	-67.783699
451.524353	-69.966728
452.197266	-68.346786
452.870178	-76.843651
453.543091	-74.048866
454.216003	-71.161125
454.888916	-71.107864
455.561829	-77.049660
456.234741	-74.603584
456.907654	-75.817787
457.580566	-81.995041
458.253479	-87.229118
458.926392	-93.124245
459.599304	-84.599503
460.272217	-100.642342
460.945129	-83.860992
461.618042	-78.481377
462.290955	-87.698448
462.963867	-87.959122
463.636780	-80.902657
464.309692	-81.171227
464.982605	-102.272324
465.655518	-90.860069
466.328430	-88.656174
467.001343	-82.640953
467.674255	-80.440926
468.347168	-85.757576
469.020081	-90.006630
469.692993	-93.026482
470.365906	-85.093048
471.038818	-86.093437
471.711731	-98.052483
472.384644	-86.738747
473.057556	-85.178696
473.730469	-86.526764
474.403381	-90.026306
475.076294	-88.774200
475.749207	-98.863937
476.422119	-94.043877
477.095032	-87.491417
477.767944	-87.160828
478.440857	-89.581390
479.113770	-91.915260
479.786682	-90.061409
480.459595	-87.982018
